"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Congo, République démocratique du","COD","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59133","66199","62665","67965","73265","45000","59133","52066","55599","42211","","","",
"Congo, République du","COG","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","321000","291917.4","355000","442202","509037","574159","619892","571860","562889","650000","739000","921000","930000","1003734","",
"Colombie","COL","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","791588","577041","960720","995203","946945","1236121","1510744","2076760","1969316","2056789.2236","2446523","2861151","3381952","3068565","3409344","3843103","3452348","3877937","4181330","4316862","4272689","4901510","",
"Comores","COM","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44697.48","77184.98","79917.15","67847.03","68894.84","76096.89","73309.69","52673.2","55032.5","54358.54","","","",
"Cabo Verde","CPV","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54873","55976","49207","49084","54112","52789","62112","74554","84041","91683","76139","79754","",
"Costa Rica","CRI","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","573502","563825","602570","669259","734088","740420","834321","976621","1004971","875687","1013483","1069348","1229530","1245174","1298579","1343841","1338979","1489326","1492791","1300785","1509599","1523198","",
"Petits états des Caraïbes","CSS","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4391829","4416836","3757542","3970819.5","3922415","4036723","4150842","4085677","4050722","3674851","3324394","3896843.5","4054574.25","3674808.875","4294592","",
"Cuba","CUB","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319857","319000","290098.6","228346","246773","240000","263886","230836","330713","325319","332240","349722","322000","","","",
"Curacao","CUW","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94097","99191","87452","89193","90016","98278","93921","96738","","89305","92640","",
"Îles Caïmans","CYM","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","649","36644","44215","45649","44766","45400","46118","46720","54607","60718","61940","","","","","",
"Chypre","CYP","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","377037","416970","353913","349163","345817","307496","277276","307878","308639","360841","345016","416502","389962","390504","319131","",
"République tchèque","CZE","Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
